sentence,smell confidence,overt or impiled,smell words,,
"An electric cable would also be required to convey the necessary light and power, because it may be found that in the winter time the heat from the lamps is not sufficient for the patients, and it may be necessary to provide thermo-electric stoves. (c) Equipment.",0,,,,
"19.—The Master of every ship infected with Cholera shall, when within three miles of the coast of any part of England or Wales, cause to be hoisted the Commercial Code Signal Q, being a yellow flag, under the National Ensign, and shall keep the same displayed during the whole of the time between sunrise and sunset.",0,,,,
"The absence of noise and smell, which were inevitable accompaniment to any work done in the Shelter, was gratefully noted by mothers and workers alike.",strong,overt,absence of smell,,
"Many complain, too, of the discomfort and indigestion experienced even during the period that must elapse between extraction and the fitting of dentures, and many make great sacrifices to pay for dentures even to the extent of borrowing.",0,,,,
"The disease maintained a rather high prevalence throughout the year, except in July (8 cases) and August (4 cases).",0,,,,
"In the case of 22 of the houses, the required works were carried out by the owners in accordance with the specifications prepared for each house.",0,,,,
Twenty vessels have been fumigated on account of infectious disease (Appendix D) and in nine cases infected clothing has been stopped and dealt with.,weak,implied,"fumigated, infected clothing",,
"The following report was received from Dr. Thynne on MATERNITY AND CHILD WELFARE. The aim of preventive medicine is not only to reduce the death rate, but to lower the "" damage rate,"" and to make all the survivors healthier and stronger.",0,,,,
"When the total income of the family exceeds 5s. per head per week, but does not reach the maximum limit as stated above, a reduction in price is made of from 4d. per pint to Id. per pint.",0,,,,
"The total number of marriages in the Borough in 1924 was 1,015, being 41 below the number for 1923, and 190 below the average for the last 10 years.",0,,,,
"It seems clear, therefore, that the Council ought to insist that public money paid for the supply of milk should ensure the provision of a really pure and genuine product, with its normal qualities unspoilt by mishandling or artificial preservative treatment.",0,,,,
"On the '29th, three other cases were removed, and a fifth on the following day.",0,,,,
"From experience obtained so far as to the working of this scheme, it is obvious that the work,if it is to be efficient, will be slow.",0,,,,
Buried at Sea. » ^ Nepaul Str.,0,,,,
Royal Albert Dock Small-pox Bombay Gibraltar „ 18 Ganges Str.,0,,,,
"The great reforms (in prevention of disease) .... are dependent for their achievement upon an enlightened and responsive people.” In these weighty words Sir George Newman gives the most essential requisite in the successful carrying out of any broad scheme dealing with the prevention of disease, viz., the education of the masses.",0,,,,
In consequence of the outbreak of small pox it was found necessary to engage the services (temporary) of an additional disinfector.,0,,,,
"The Factory and Workshop Act of 190 1 enacted that no underground bakehouse should be used unless certified by the Sanitary Authority as suitable, as regards 1.",0,,,,
"Dismissed on payment of costs, 17/6.",0,,,,
"We have had them for a great many years, and, owing to lack of demand or want of will on the part of patients, little use has been made of them, and this is essentially a question in which the demand for a shelter should come from the patient.",0,,,,
"Your Worshipful Committee has not yet thought fit to adopt the suggestion as to the abolition of all fees for maintenance of patients in Hospital, except in the case of Public Institutions ; I trust, however, that the question is not yet finally settled, and that eventually this will be agreed to, as I feel certain that from a public health point of view it is the only reasonable plan to adopt.",0,,,,
Nett Deaths at all Ages belonging to the District.,0,,,,
Diff. from Average of 60 years.,0,,,,
This we have also overcome with the help of a special switch made by a member of the Electric Light Department.,0,,,,
"H., has succumbed to complications on top of the original complaint.",0,,,,
Official No. Owners or Brokers.,0,,,,
"Total to June 30th, 1890 - 293 From June 30th to December 31st, 1890 - 20 Total since commencement - 313 31 APPENDIX E. Alterations made, from June 30th to December 31st, 1890.",0,,,,
"The Nurses paid 171 visits to 13 patients suffering from pneumonia, the average number of visits per patient, being 13.",0,,,,
Weight of Vapour in a Cubic Foot of Air.,0,,,,
They therefore seek to make an arrangement with the Corporation.,0,,,,
"Those engaged in such work are always sowing, others will reap in due course.",0,,,,
"It is quite clear that if the work were undertaken with vigour and understanding, the sympathy of the Public would be enlisted, and the work of the Public Health Department would be facilitated and rendered more efficient, with very considerable benefit to the health of the Borough.",0,,,,
"To members of the Council the scheme may seen very extravagant and expensive, but it is difficult to see how you could provide for a certain amount of treatment to be given to the classes above mentioned without the buildings and equipment we recommend.",0,,,,
METROPOLITAN BOROUGH OF DEPTFORD. (This Table is prepared in accordance with the requisitions of the Local Government Board).,0,,,,
During 1920 the Tuberculosis Care Committee referred to the Chelsea Branch of I.C.A.A. 102 cases needing convalescence or care.,0,,,,
"He was at once isolated under a tent on deck, and landed at Aden with all his effects on the following day.",0,,,,
"I beg to submit the following report, which embodies all the points alluded to in the letter from the County Council.",0,,,,
"Number of persons examined for the first time :— Insured 135 Uninsured 456 591 Number of persons suffering from :— Tuberculosis 70, or 12 per cent.",0,,,,
"Cowsheds — — — Milkshops 66 150 2 Houses let in lodgings — — — Ice Cream premises 17 17 — Slaughter-houses 3 40 — Offensive trades — — — Smoke nuisances :— Number of observations 2 Number of nuisances and complaints 2 Number of notices 2 Number of Summonses — Cleansing :— Number of adults cleansed 52 Number of children cleansed 30 Number of rooms or premises cleansed and disinfected 1061 Sale of Food :— Number of premises used other than ice cream premises, milk shops 70 Number of Inspections 70 Disinfection shelter :— Persons accommodated Adults 21 Children 16 Mortuary :— Number of bodies received 95 Number of infectious bodies received 2 20 21 MAGISTERIAL PROCEEDINGS UNDER PUBLIC HEALTH (LONDON) ACT, 1891.",0,,,Not a sentence,
19 WATER BARGES. During the half-year the water barges supplying shipping have been constantly under supervision and inspected carefully.,0,,,,
"Therefore, the report as it stands must be considered as a perfectly fair and reasonable one, requiring only a note as to the cold and wet weather during August.",0,,,,
Orthes 78 563 Royal Victoria Dock Sau Francisco 2 cases salmon.,weak,implied,salmon,,
"In January a sergeant in the B.A.M.C., who lived in Chelsea, was notified as suffering from small-pox, and was removed to hospital.",0,,,,
"Excluding 209 births of non-parishioners, and including 133 births taking place amongst Chelsea mothers in Lying-in Hospitals and Homes outside the Borough, the total number of births for the year was 1,392, the corresponding figure for 1919 being 874.",0,,,,
"SUMMARY OF CANAL BOATS FOR THE YEAR ENDING 31st DECEMBER, 1890.",0,,,,
"Clerical Staff: Mr. H. W. Bush, Chief Clerk and Assistant Administrative Officer.",0,,,,
"I am, Your obedient servant, GRANTLEY SMITH. Municipal Dental Surgeon.",0,,,,
"About 200 patients per annum belonging to Bermondsey, who are treated in the various Sanatoria in the country, and when these come back to Bermondsey the large majority relapse unless they can get some kind of continuation treatment.",0,,,,
One other case of the same disease was brought from Southend during December.,0,,,,
To estimate the value of preventive work in actual figures is impossible.,0,,,,
"During the year, 148 cases of diphtheria were notified in Chelsea, as against 71 in 3 919, and 47 in 1918.",0,,,,
One or two only call for special mention.,0,,,,
"Total population at all ages 110,398 Number of inhabited houses 15,823 Average number of persons per house 7·0.",0,,,,
Electric Signs might be installed at one or two sites belonging to the Council.,0,,,,
"Inaccordance with the Local Government Board's instruction, the Vaccination Officer of the Board of Guardians (the Local Authority for vaccination purposes) was immediately informed of each case, and every information given him, as far as possible, as to children and others unprotected by vaccination.",0,,,,
"The Health Visitors worked hard to make the party a success, and the Town Hall staff gave much valued assistance.",0,,,,
The number of new cases of pulmonary and non-pulmonary tuberculosis visited in the course of the year was 114.,0,,,,
"Water closets and Urinal cleansed 2 „ door and seats repaired 2 „ water supply provided 2 „ abolished 3 * Including Bakehouses and Laundries, Bakehouses.",weak ,implied,"urinal, cleaned",,
"Of recent years a valuable addition to fresh air has been found in sunlight and it is quite evident from the interest which has been aroused by our recent campaign, by our flying visit to Leysin and other places where the sun treatment is carried on, and our sending six patients to Leysin for the sun cure, that propaganda under this head is going to do an enormous amount of good and it will not be long before the masses are convinced that, in addition to refraining from spitting, plenty of fresh air and sunlight will be of great personal advantage, and will help to reduce still further the incidence of tuberculosis.",weak ,implied,fresh air,,
"A greater demand rate is to be expected, but a levelling up would occur in the lessened expenditure on medical benefit due to the eradication of those illnesses traceable to diseased oral conditions.",0,,,,
"While the country has the most elaborate arrangements for dealing with epidemic disease on a large scale, it is very readily forgotten how constant and real must the danger of infection be when constantly the clothing of persons who have died abroad from all kinds of disease is being sent home without, in many cases, any precaution or trouble as to consequences.",0,,,,
"On receipt of a Notification of Small-Pox, the premises were visited immediately, at whatever hour of the day or night, and enquiries made as to the source of infection, the names and ages of all the inmates noted, the place of occupation of the patient, the names and addresses of all persons who had been in contact with the case, and the schools attended by the children, the conditions as to vaccination and re-vaccination so far as could be ascertained.",0,,,,
"110, Grange Road 2 45 98, Rotherhithe New Road 2 52 43 34, Oxley Street 2 Manor Chapel, Roseberry Street 1 60 Trinity Road Schools 1 35 In addition to these there are two Ante-natal Sessions per month, two Toddlers' Sessions per month, and one afternoon per week to examine the mothers going to Fairby Grange Convalescent Home, which makes a total equivalent to 10 medical sessions per week.",0,,,,
"PUBLIC HEALTH DEPARTMENT, TOWN HALL, SPA ROAD, S.E. 16.",0,,,,
"Among these I would like to mention Mr. Bush, Chief Clerk; Mr. Freeman, Chief Inspector; Mr. Kent, Propaganda Clerk; and the Dispensary Nurses.",0,,,,
The number of bodies taken into the existing mortuary during the year was 82.,0,,,,
"Number of Rooms Cleansed, Stripped, and Disinfected, 175.",weak,implied,"disinfected, rooms",,
"The place to be fixed as aforesaid, where any ship may be moored or anchored for the purpose of Article 10, shall be some place within the jurisdiction or district of the Sanitary Authority, unless the Local Government Board otherwise consent; in which case the place so fixed shall, for the purposes of this Order, be deemed to be within such jurisdiction or district.",0,,,,
"1,90 Malarial Fever London Docks.",0,,,,
"Langton-street Milk Contained 13.7 per cent, added water 20th July £5 fine, £1 lis.",0,,,,
"Visits were also paid to Chailey in Sussex, Carshalton in Surrey, and Alton in Hampshire, where open-air and sun treatment were being carried out for invalid children.",weak,implied,open air,,
"3. There are also patients who for some reason or other cannot go to Sanatoria, and it might be possible to help these people a little by giving them a certain amount of treatment, although, as mentioned above, they can hardly expect to receive the full benefits of sanatorium treatment.",0,,,,
The vacancy caused by the resignation of Inspector Lewis has been filled by the appointment of Inspector Bailey.,0,,,,
Area of District in acres (exclusive of area covered by water).,0,,,,
"In the three other cases, the amounts of adulteration were considered insufficient for legal proceedings, namely, 5.3 per cent. of fat abstracted; 2.3 per cent. of fat abstracted, and 2.6 per cent. of added water; and 4.7 per cent. of fat abstracted.",0,,,,
MUNICIPAL DAY NURSERIES. Total number of attendances of Children under 5 during the year— (a) Whole:(a) Whole:- (b) Half: — UNSOUND FOOD AND FOREIGN MEAT REGULATIONS. The following Articles Of Food Were Dealt With Under The Above Regulations During The Period Under Report.,0,,,,
"The amount of milk allowed in 1920, to be supplied under the orders was as follows :— For children under 18 months .. .. 1£ pints daily.",0,,,,
May 15 Iris Hamburg Oct.,0,,,Not a sentence,
"A report has been issued by the Engineer and Chemist of the London County Council in which it is stated that "" below bridge, and as far as Limehouse, the water was as good as we have often seen it in the Thames above Teddington."" With reference to this, I would point out that this is no uncommon thing on a falling tide ; and secondly, that this inspection was made on two dates—16th and 22nd September.",0,,,,
CASES NOTIFIED IN WHOLE DISTRICT. Month.,0,,,,
"She arrived on 23rd, when it was found, according to the Medical Officer's Log that there had been two deaths from dysentery, but none from cholera.",0,,,,
"TABLE OF CONTENTS. PAGE. VITAL STATISTICS— Population 19 Births Marriages 19 Deaths 20 Infantile Mortality 21 Zymotic Diseases 21 Measles 22 Whooping Cough 22 Enteric Fever 22 Tubercular Diseases 22 Phthisis 22 NOTIFICATION OF INFECTIOUS DISEASE- Diphtheria 23 Scarlet Fever 23 Enteric Fever 24 Puerperal Fever 24 Ophthalmia Neonatorum 24 Cerebro Spinal Meningitis 24 Polio-Myelitis 24 Bacteriological Laboratory 25 SANITARY ADMINISTRATION— Wharves & Food Inspectors' Work 26 Unsound Food 27 Milk Premises 27 Slaughterhouses 28 Ice Cream Premises 28 Street Markets 28 Food and Drugs 28 General Sanitary Work 28 Smoke Nuisances 28 PAGE. House & Trade Refuse 29 Offensive Trades 29 Disinfection 29 Cleansing of Persons Act, 1897 30 Proceedings during year 30 Mortuary 31 Work of District Inspectors 32 PROPAGANDA 33 MATERNITY AND CHILD WELFARE— Lady Assistant Medical Officer's Report on Maternity and Child Welfare 46 Health Visitors 52 Municipal Dental Surgeon's Report 53 TUBERCULOSIS— Tuberculosis Dispensary 57 Care Committee 61 Clinical Tuberculosis Officer's Report 65 Sun Cure 67 Leysin Patients 77 APPENDIX TABLES— Ministry of Health Tables 80 Outworkers 85 Deaths from Zymotic Diseases 86 Prosecutions (Food and Drugs) 87 Factories and Workshops 90 Bakehouses 91 Maternity & Child Welfare 92 Unsound Food and Foreign Meat Regulations 93 A2 PUBLIC HEALTH DEPARTMENT. Public Health Committee, 1924.",0,,,Not a sentence,
"Apparently, the more popular idea is that the complete scheme of dental benefit should be granted, at an agreed scale of charges, administered by a panel of dentists under somewhat similar control as obtains with medical benefit, and granted as a statutory benefit with a prior claim on funds than heretofore with larger grants to patients.",0,,,,
Note.—This child has been under treatment for tuberculosis for about five years.,0,,,,
16 Work of the Public Health Department.,0,,,,
"The Ambulance Service of the Metropolitan Asylums Board was at once communicated with by telephone or otherwise, and in no case was there any delay in removing the patient.",0,,,,
"Infantile Mortality Bates and Deaths, One to'Five Years.",0,,,,
"In 1919, when measles was notifiable, 594 visits were made by nurses to measles cases.",0,,,,
"The distribution of the disease in the various Wards, as shown in Table V of Appendix, was fairly uniform.",0,,,,
Cleanliness and temperance are all-important.,0,,,,
"The scheme provides that, after due enquiry by the officers and after authorisation by the Rota Committee, an order for a specified quantity is sent to the milk vendor in the Borough who is chosen by the consumer from the approved list.",0,,,,
"It is due to what is known as a germ or microbe, called the bacillus tuberculosis, which is known to flourish in unhealthy and unwholesome conditions of life; therefore our attention should be directed to procure pure air, sanitary dwellings, good food, warm clothing, all milk should be boiled and meat well cooked.",weak,implied,"sanitary, dwellings, pure air",,
"Beyond this Act, which requires notification simply forthwith without any special limitation as to place and time, notification of disease on board an inward bound ship by the Master on arrival at Gravesend is compulsory under the regulations of the Port Sanitary Authority.",0,,,,
"There is a very wide range of subjects which could be covered by this programme as the following list shows:- (a) Preventable Diseases, Infectious Diseases, Tuberculosis, Rickets, Rheumatism, Heart Disease, Venereal Disease, Diabetes (Insulin), the common cold, etc. (b) Housing —Light, ventilation, effects of damp, drains, house inspection, etc. (c) Personal Hygiene—Care of teeth, clothing, sleep, exercise, etc. (d) Food —Diet, vitamins, artificial foods, canned foods, milk, food inspection and contamination, food poisonings, flies and food. (e) Industrial Diseases —Precautions taken in Factories and the reasons for them, e.g., Anthrax.",0,,,Not a sentence,
"Estimated to June 30th, 1924.",0,,,,
Two other alarms have been given.,0,,,,
Maternity and Child Welfare Committee.,0,,,,
Deaths from Principal Infectious Diseases.,0,,,,
"Suggestions were made to us at first that we should start in a big way in the "" Town Hall,"" but we have followed what I consider a wiser plan and have begun in a small way and gradually increased our audiences as we went on.",0,,,,
To them this centre may be of great service.,0,,,,
2 cases of puerperal fever were notified.,0,,,,
We also hope by this propaganda to create a bigger demand for the use of open-air shelters.,0,,,,
"9 - Morayshire 97,607 Ditto Ditto 21 cases lemons and limes.",0,,,,
"When the war broke out many of the patients had to return home suddenly and a larger number of very advanced cases were sent in their place, so that the figures do not appear so favourable.",0,,,,
"The conditions for which the children were admitted may be summarised as follows :—Marasmus or Wasting, 39; Bickets, 7; Aftereffects of Bronchitis and Broncho-pneumonia, 5; other illnesses, 14.",0,,,,
The results of the change were very satisfactory as the proper administration of the Food and Drugs Acts requires special qualities that every Inspector does not possess.,0,,,,
"Williams, William, Friendly Street Mews, Friendly Street.",0,,,,
I think I am right in saying that the Bermondsey Borough Council is the first Public Health Authority deliberately to take up this subject as a specialty.,0,,,,
"He also said that on days when natural sunlight was not available the next best thing was artificial sunlight, preferably by some form of arc lamp, as he said that this was more like the sun.",0,,,,
"As a full account of this part of the subject would take up too much space, I shall give just totals.",0,,,,
"Salomon's, Fulford Street, St. George's Hall, Princess Club, and Great Central Hall continue their good work.",0,,,,
"Milk is not supplied free of charge or under cost price to families when the income exceeds (after deducting, from the total income, rent and insurance payments), the following standard, viz. :— lis. per head per week for families of five or less ; 10s. 6d. per head per week for every additional member over five.",0,,,,
"19 It was found then that the nearest point of the deposit was 280 yards from the ship's isolation hut on shore, and over 400 yards from the vessel.",0,,,,
The total number of articles disinfected for this purpose was 633.,weak,implied,disinfected,,
Under section 131 the District Council are required to keep a register of all workshops situate in their district.,0,,,,
"In some instances masters have been turned out of their barges and forbidden to permanently occupy them, hence these craft no longer come strictly within the purview of the Acts.",0,,,,
"4.—The Officer of Customs detaining any ship as aforesaid shall forthwith give notice thereof, and of the cause of such detention, to the Sanitary Authority of the place to which the ship shall be bound, or where the ship shall be about to call.",0,,,,
"17 - Lady Jocelyn - 11,923 Ditto Ditto 28 carcases and 34 pieces mutton.",weak,implied,,"carcases, mutton",
"Your Medical Officers have paid special attention to this point, and have reason to know that the practice, though still carried out, is very largely diminished.",0,,,,
"PORT OF LOTDON SANITARY OFFICES, GREENWICH. January, 1891.",0,,,,
"Unfortunately, she passed away later.",0,,,,
"On the 11th August a patient with scarlet fever was removed to the Port Sanitary Hospital from the "" Carnegie,"" lying in the West India Docks.",0,,,,
Royal Albert Dock Measles New York Own home „ 20 Roslin Castle Str.,0,,,,
REPORT OF THE MEDICAL OFFICER OF HEALTH For the Year 1902.,0,,,,
Provided that in the case of any Dockyard Port for which a Queen's Harbour Master has been appointed the place where any ship shall be moored or anchored for the purpose of this Article shall from time to time be fixed by the Port Sanitary Authority with the approval of the Queen's Harbour Master instead of with that of the Chief Officer of Customs of the Port.,0,,,,
"These were sold, while underwater, by auction on the understanding that if utilized in France, with the consent of the Sanitary Authority there, they would not be condemned.",0,,,,
ANALYSIS OF THE VITAL STATISTICS OF SEVENTY-SIX OF THE LARGEST ENGLISH TOWNS DURING 1902 Estimated Population middle of 1902.,0,,,,
"The rate of 52 is only about one-third of the rate prevailing in Chelsea prior to 1905, when the first attempt was made to control infantile mortality by the appointment of a woman health officer.",0,,,,
"Miss Dutch, Clerk and Dispenser.",0,,,,
The following types of persons could be dealt with under this scheme :— 1.,0,,,,
"On visiting the vessel it was found that a second patient was already infected, and both were sent to the Homerton Hospital.",0,,,,
"In column 1, foot of Table I of the Appendix, will be found a list of places where deaths of non-parishioners occurred in the district.",0,,,,
"She has had prolonged sanatorium treatment in this country, including a period of about 15 months in a sanatorium, at the end of which time the Medical Superintendent recommended her removal as she was not improving.",0,,,,
"SALE OF FOOD AND DRUGS ACTS. The total number of samples purchased during the year 1902 and submitted to the Public Analyist for the borough, was 300.",0,,,,
"It also has an influence upon the work of your officers from another cause ; dock authorities and ship owners have felt seriously (in common with the labourers) the heavy losses consequent upon the cessation of trade, and, in consequence, are not only unwilling but also unable in some cases to carry out suggestions, involving expense, which, although they are not absolutely necessary, and cannot therefore be legally ordered, -still would tend materially to improve the sanitary condition of vessels and the surroundings of our seamen.",0,,,,
"Since writing my last Half-yearly Report, the only two training ships without any such hospital provision, viz., the "" Shaftesbury "" and the "" Worcester,"" have petitioned the Court of Common Council to be allowed to make a mutual arrangement with your Worshipful Committee for the reception of their infectious sick.",0,,,,
"The Council has already seen, by means of photographs, how backs deformed through Tuberculosis are cured and movement is regained, not only in the spine but in the various joints affected.",0,,,,
Eighty-five baths were given to scabies cases at the Disinfecting Station.,0,,,,
I.—Regulations as to Detention by Officers of Customs.,0,,,,
When the invisible rays known as the Ultra-violet rays first became known by Finsen's experiments in Copenhagen in 1890 they seemed to explain many curious phenomena which has been discovered empirically (that is by experience only) concerning the value of the sun's rays in the cure of diseases.,0,,,,
"On November 17th I received an urgent letter from Dr. Rollier saying that she was doing very badly, and ought to be removed home as early as possible, so I sent out Nurse Wells to accompany her back, and after a very difficult and anxious journey I am glad to say we got her safely home on November 23rd.",0,,,,
"(Deduced from Observations at Greenwich, under the Superintendence of the Astronomer Royal).",0,,,,
"Fifty of the children were infants under one year, and 15 slightly older children.",0,,,,
(4) Assisting general practitioners in the diagnosis of Tuberculosis and advising them as to treatment both in insured and non-insured cases.,0,,,,
"Number of primary notifications 316 Number of deaths (all forms) 173 Non notified deaths 27.8 Death Rate per annum 1.4l Number of cases admitted to Sanatorium 260 Total number of attendances 5,966 Total number of examinations (including new cases, re-examinations and contacts) 3,561 Total number of new patients 599 Number of nurses'home visits 4,153 Number of doctors' home visits 35 Number of contacts examined 620 Number of reports to public authorities 1,292 Number of letters to doctors 1,067 Number of sputum examinations 1,740 Number of X-ray examinations 97 Number of beds on loan 18 Tuberculosis.",0,,,,
"Administrative and Supervisory Richard King Brown - M.D., D.P.H. 1911 M.B., B.S., M.R.C.S., L.R.C.P., D.P.H. £750 Clinical April Ist, 1921 Donald M. Connan Fully Trained Nurse £250 Visiting and assisting at Dispensary Ditto Marion B. Stevens Ditto £250 Ditto Ditto Olive Pike Ditto October 7th, 1924 £206 May Wells Clerk and Dispenser Apothecaries Hall Dispensing Qualification £235 April 1st, 1921 Rose Dutch Clerk January 20th, 1920 *Frederick W. Smith £165; fire, lodging and light March 7th, 1922 Various; weighing patients, etc.",0,,,,
"Re-inspections, Calls, &c. 746 Thomas Turner, Inspcctor.",0,,,,
"The evidence against the master »vas unusually complete, the surgeon of the ship having entered the case as "" typhoid fever "" in the official log on the 11th April.",0,,,,
No change has been made in the arrangements for inspection.,0,,,,
"Spitting in the street is a dangerous habit; spit only into a covered cup, spittoon, or wide-mouthed bottle kept for the purpose, to which some disinfectant fluid has been added; to use such articles for wiping the mouth as can be burnt or placed in boiling water; not to swallow the spit.",weak,implied,"spitting, disinfectant",,
"The master then expressed his great regret at having committed so serious a breach of the Port Regulations, but it was felt that the offence was too great to overlook, and a summons was, therefore, taken out against him at the Gravesend Police Court.",0,,,,
"The vessel left Marseilles on 8th August, and six days previously the second engineer had gone to Hospital with the same disease.",0,,,,
"A certain time, generally 14 days, is stated on the form, and failure to return within that time will be considered as sufficient reason for taking proceedings if the offence be of such a nature as to call for the same.",0,,,,
"The current retail prices of milk in London in 1920 were as follows : Per quart: January, 1s.; February and March, lid.; April, 10d.; May to September, inclusive, 8d.; October and November, 10d.; December, lid.",0,,,,
The vessel was fumigated and the services on board suspended for a time.,weak,implied,fumigated,,
"There were 43 such deaths in all, against 42 in 1923 and 43 in 1922.",0,,,,
"2.—If any Officer of Customs, on the arrival of any ship, ascertain from the Master of such ship or otherwise, or have reason to suspect that the ship is infected with 41 Cholera, he shall detain such ship, and order the Master forthwith to moor or anchor the same in such position as such Officer of Customs shall direct ; and thereupon the Master shall forthwith moor or anchor the ship accordingly.",0,,,,
"Hitherto the only treatment for these conditions was either complete rest or excision of the joint by surgical methods, in most cases resulting in the complete immobility of the joint, and up to quite recently it was never thought that these cases could be cured and the joints be used afterwards in the ordinary way.",0,,,,
"SIŔ AND GENTLEMEN, I have the honour to present to you the Annual Report on the vital statistics and sanitary work for the Registration Year 1902, 52 weeks ending December 27th, 1902.",0,,,,
"Thirteen cases have occurred of boats travelling while unregistered under the Acts, and all these have since been registered under this or some other Authority.",0,,,,
"OTHER DISEASES. On the 19th April, a case of illness was reported on the canal boat "" Elizabeth,"" lying at Silvertown.",0,,,,
The number of births in Chelsea in 1920 exceeded that of any year since 1909.,0,,,,
4. The Master or other person in charge of the ship shall cause her to remain off the Custom House until the Medical Officer of Health has boarded her.,0,,,,
"As the X-Ray and Radium emanations have great powers of penetration they have always been applied locally, frequently with E 2 67 great benefit to the patient.",0,,,,
"Ex officio : Councillor W. J. CRAGIE, J.P. ... ... Mayor of Bermondsey.",0,,,,
"On the 4th September the Local Government Board, acting under the Public Health Acts, issued an order prohibiting the importation into this -country of rags from Spain until the end of the year 1890.",0,,,,
Housing of the Working Classes.,0,,,,
"Order for works in 14 days 164, Sloane-street To repair roof Kensington 19 Oct.",0,,,,
"MONCKTON. To the Right Honourable the Lord Mayor, Aldermen, and Commons of the City of London in Comm.on Council assembled.",0,,,,
"In the course of the investigation it was found that the master had made no entry in the official log in accordance with the provisions of the Merchant Shipping Act, this fact was therefore communicated to the Board of Trade, who called upon the master for an explanation.",0,,,,
We went to about 20 clinics out of the 35 and were shown every case in each clinic.,0,,,,
"The Thames Conservancy, however, failing to raise the wreck the currants could not be got out and thus became putrid.",0,,,,
During the month of November complaints were received as to the gradual fouling of a creek at Grays Thurrock by the dropping of manure while unloading barges.,strong,implied,"fouling, manure",,
"In connection with this campaign, while the Borough Council recognises that institutional treatment of tuberculosis is the duty of the County Council, yet it is strongly of opinion that the sending of the six patients to Switzerland has done more for sunlight propaganda in Bermondsey almost than any other single measure.",0,,,,
"(3) That the assessments be done by the Public Health staff on information supplied by the Tuberculosis nurses, to a scale agreed to between the County Council and ourselves.",0,,,,
"This is 239 below the average for the last 10 years, and 1 above the figure for 1923.",0,,,,
1 and under 5 years.,0,,,,
Official No. Owners or Brokers.,0,,,,
"The patient was a man who had been employed on steam ship "" Duke of Argyll."" He was seen by Dr. W. J. Hill, who was acting as Port Medical Officer, and the case was carefully investigated by him in conjunction with Dr. W. H. Power of the Local Government Board.",0,,,,
A number of lantern slides On public Health subjects have also been prepared.,0,,,,
"3. The floor shall be constructed of hard, smooth, durable and impervious material.",0,,,,
"To a certain extent, the same difficulty applies to lantern slides, and, of course, the production of pamphlets and posters is a matter requiring careful thought and one which takes considerable time.",0,,,,
"As Sir William Broadbent has said, ""If we could ensure the destruction of all sputa of the sufferers from Phthisis, and secure a supply of milk and meat absolutely free from tubercle bacilli, all the diseases due to Tuberculosis, which now cause one-seventh or one-eighth of the total number of deaths, would cease from the land."" In all cases of removal of a consumptive person from one house to another, or after death of a consumptive patient, application should be made to the Medical Officer of Health to have the rooms, carpets, rugs, bedding, clothing, etc., disinfected, which is done free of cost.",weak,implied,disinfected,,
"Lectures have also been given to children and adults both in the Town Hall and the schools, and a "" Multiposter "" sign, which shows a dozen consecutive pictures, has been installed at the corner of Grange Road and Tower Bridge Road, and three sets of twelve pictures have already been exhibited and a fourth set is about to be installed.",0,,,,
"We beg further to report that it becomes necessary that the Medical Officer and the Inspectors of Nuisances of the Port of London should be re-appointed for a period of twelve months from the 25th March, 1891 ; we accordingly recommend that William Collingridge, M.D., should be re-appointed for that period as the Medical Officer of Health for the Port of London, and that Henry Spadaccini at 60s. per week, William Baillie at 45s. per week, William Anderson at 45s. per week, and Thomas William Bailey at 30s. per week, be re-appointed Inspectors.",0,,,,
Deaths from Principal Infectious Diseases.,0,,,,
"As a precautionary measure all the contacts of the case at the college, and a considerable proportion of the students and staff were re-vaccinated.",0,,,,
"He has now been on probation for some time, and, as Dr. Collingridge reports that he does his work in a satisfactory manner, we now beg to recommend his appointment by your Honourable Court until Lady Day next at wages of 30s. a week.",0,,,,
"The note appended to each is a short reference by Dr. Connan, showing what the patient was suffering from. "" Miss C.P. is making very satisfactory progress.",0,,,,
These secondary cases arose chiefly from the delay or refusal to be vaccinated or re-vaccinated after contact with the first case.,0,,,,
"Should, however, this body refuse to give a certificate of suitability, the occupier of the premises may appeal to a summary court of jurisdiction, then the justices would certify, instead of the Sanitary Authority.",0,,,,
"There are two vans employed, one for use in collectinginfected articles, the other for returning them, after disinfection is completed.",weak,implied,disinfection,,
When we started this we found that none of the firms had any films that were worth very much from a health point of view and we found it necessary to do our own work in this respect.,0,,,,
"An appeal to the pocket is generally understood, and when a sanitary improvement can be demonstrated as a financial success much of the opposition is dissipated.",0,,,,
5 Having advertised for Candidates for the latter situations we selected therefrom Mr. and Mrs.,0,,,,
In intimate connection with the Hospital is the question of payment for accommodation.,0,,,,
Legal proceedings taken in respect of food adulteration 2 Correspondence :— Number of letters written in connection with sanitary matters 699 Daily applications for removal of infectious cases sent to Metropolitan Asylums Board 22 Notifications of infectious cases sent to Metropolitan Asylums Board 142 Notifications of infectious cases sent to school authorities 308 Entries in Inspectors Report Books 834 Entries in Inhabitants Complaint Book 53 Certificates of disinfection given 528 Certificates of infectious diseases for removal cases 180 Notices sent to Public Library of premises where infectious diseases have occurred 146 Post Cards sent re samples under Sale of Foods and Drugs Act 398 Food Destroyed.,0,,,Not a sentence,
